name,price,property_type,bedrooms,bathrooms,sqm,year_built,features,city,governorate,address,description
AlMaqsad Park,"4,945,000 EGP","Residential, Apartment",3,0,155.0,2025,"['Other', 'Building Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MPE13 Floor 6 Unit MPE1362 AlMaqsad Park New Administrative Capital Cairo Cairo Egypt,"Carefully designed to maximize life within nature, AlMaqsad Parks provides unparalleled relaxation for those seeking added privacy amidst lush landscapes. With exceptional spaces to live in, expansive views of greenery, and inspiring amenities all around, discover your own tranquil home in the heart of The New Capital at AlMaqsad Parks."
Mazarine Commercial,"24,308,000 EGP","Commercial, Retail",0,0,217.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZSPC5 Floor 1 Unit MZSPC513 Mazarine Commercial Mersa Matruh (k) Matrouh Egypt,"Nestled in Egypt’s flourishing Mazarine, Mazarine Sapphire Commercial offers the lively blend of modernity, luxury, charm and culture. The project merges various elements of style, offerings and surroundings, using vibrant techniques to outline the high standards for contemporary delight. The luxury district comes in 60 shops for light F&B being top-notch, as well as dashing retail stores. All shops are set across buildings, where each includes three shops on the ground floor, in addition to another three on the first floor. With a separate entryway from the rest of the residential building, Mazarine Sapphire Commercial is designed to grant the maximum privacy in an ideally positioned area that satisfies and guarantees appeal to business owners and visitors."
Alamain (Latin District),"6,827,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building A02 Floor 7 Unit Z03-CL02-A02-X7-07-02 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
T- Residences,"2,945,154 EGP","Residential, Apartment",3,1,130.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-11 Floor 1 Unit 14 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
BEGONIA,"8,405,000 EGP","Residential, Apartment",3,3,143.5,2025,"['Other', 'Gate Community']",New Cairo,Cairo,Building Building 06 Floor 1 Unit MB0612 BEGONIA New Cairo Cairo Egypt,"At Begonia, your location is a catalyst for your growth and balance. Strategically centered in the heart of New Cairo, Begonia enjoys seamless connectivity to the city, ensuring you’ll find everything you need within easy reach, while still enjoying a peaceful retreat. Major thoroughfares like Gamal Abd El Nasser Axis, Al Gezira Axis, and Mohamed Naguib Axis are mere moments away, granting you effortless access to New Cairo’s key destinations SIMPLY HOME Over 80% of our compound, is dedicated to greenery, ensuring that every resident has access to nature’s tranquility right at their doorstep. Our serene water features, add to the aesthetic appeal and provide calming spaces for relaxation and leisure. Our Homes are designed along with Modern Amenities Our residential area, occupying 20% of the compound. All units have premium landscape view."
Jade Park,"14,811,000 EGP","Residential, Apartment",4,2,380.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 1R Floor 6th floor Unit JP1R62 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
AlMaqsad Park,"5,071,000 EGP","Residential, Apartment",3,2,156.0,2025,"['Other', 'Building Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MPE13 Floor 3 Unit MPE1333 AlMaqsad Park New Administrative Capital Cairo Cairo Egypt,"Carefully designed to maximize life within nature, AlMaqsad Parks provides unparalleled relaxation for those seeking added privacy amidst lush landscapes. With exceptional spaces to live in, expansive views of greenery, and inspiring amenities all around, discover your own tranquil home in the heart of The New Capital at AlMaqsad Parks."
PODIA,"29,329,000 EGP","Commercial, Retail",0,0,91.5,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 2 Unit MPR-0256 Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Alamain (Latin District),"11,071,000 EGP","Residential, Apartment",3,3,206.0,2025,"['24 Hour Security', 'Building Security', 'Fire Escape', 'Security Gate', 'Cable Available', 'Electricity Available', 'Natural Gas Available', 'Phone Available', 'Sewer Available', 'Water Available']",North Coast,Matrouh,Building E06 Floor 5 Unit Z03-CL05-E06-M7-05-02 Alamain (Latin District) North Coast  Matrouh Egypt,The Future Is Present
VALORY,"12,806,640 EGP","Commercial, Retail",0,0,45.0,2025,"['Fire Alarm', 'Other', '24 Hour Security', 'Gate Community']",New Cairo,Cairo,Floor Ground-U Unit MVR-U17 Talaat Harb Street VALORY New Cairo Cairo Egypt,"Introducing Valory; a commercial hub in the epicenter of New Cairo, strategically located to give professionals unmatched access to one of the most rapidly developing areas in the Fifth Settlement. Meticulously designed to accommodate a diverse range of spaces that are specially tailored to cater to various business, retail, and medical needs.At Valory, our space is more than just a place to work. It is a turning point that revolutionizes the way business is conducted. Our goal is to pivot the industry into a new direction, setting an unparalleled standard for success, innovation, and change. Valory embodies transformation and progress, where every interaction and experience within our space evokes impact and the potential to be transformative. From the moment you step into our space, you'll feel inspired and empowered to achieve your goals and make a difference."
Alamain (Latin District),"6,481,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E06 Floor 3 Unit Z03-CL02-E06-X7-03-03 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
