name,price,property_type,bedrooms,bathrooms,sqm,year_built,features,city,governorate,address,description
Alamain (Latin District),"6,594,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building F04 Floor 6 Unit Z02-CL05-F04-X7-06-11 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Beachfront Tower - B1,"66,104,000 EGP","Residential, Apartment",3,3,398.0,2025,['Other'],Mersa Matruh,Matrouh,Building BTB1 Floor 9th floor Unit BTB1091 Beachfront Tower - B1 Mersa Matruh (k) Matrouh Egypt,"Explore a lifestyle that allows you to have your work office set close to all amenities that create the work-life balance you aspire for. Mazarine Hub, a great business district, introduces office buildings, retail spaces and F&B, set in the core of all Mazarine projects. Beachfront Towers bring a podium of four floors, with a wide range of local and international brand name retail shops with capacious terraces, overlooking the crystalline sea. Its deck is designed to have outdoor greenery, landscape, gardens, pools & water features."
PODIA,"12,824,000 EGP","Commercial, Office",0,0,93.0,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 13th Unit MPO-1304-A Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Mazarine Apartment,"12,857,000 EGP","Residential, Apartment",3,3,252.0,2025,"['24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZCS15 Floor 3rd floor Unit MZCS1531 Mazarine Apartment Mersa Matruh (k) Matrouh Egypt,"The name ‘Mazarine’ came to fruition based on the residential compound’s greatest asset: being surrounded by the deepest shades of a blue lagoon. Located within New Alamein City’s first phase, Mazarine stretches across 707 feddan offering a variety of residential projects that include villas, twin villas, chalets and apartments as well as commercial zones. Surrounded with glimmering sandy beaches, accessible lagoons and an array of sports, leisure and entertainment facilities.   The Mazarine community is complimented with breathtaking views overlooking The Gate and North Edge Towers and adjacent to North Square."
Alamain (Latin District),"8,721,000 EGP","Residential, Apartment",3,0,209.42,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E01 Floor 1 Unit Z02-CL09-E01-X4-01-03 Alamain (Latin District) North Coast  Alexandria Egypt,"One of the main districts in this new city neighboring the Heritage City with boundless views of lakes and a distinct architecture, it is easy to forget you aren’t strolling Madrid’s Gran via with the sights, sounds and sensations that invite you in. Il LATINI offers residents a premium lifestyle surrounded by landscaped greenery with countless paths for you to stroll along. Il LATINI offers a great way of life, all of its own. High quality, value for money real estate solutions through mixed used development to better serve our customers. We are the go-to trusted community value add services partner, providing high quality, value for money real estate solutions through mixed used development to better serve our customers"
Latin City,"6,688,000 EGP","Residential, Apartment",2,0,139.0,2025,"['24 Hour Security', 'Other']",North Coast,Matrouh,Building Z3CL0402 Floor 1 Unit LC302107 Latin City North Coast  Matrouh Egypt,"The Latin District is an expansion of the Alexandrian/latin districts persona in terms of scenic greenery and characteristic archetectural designs. The project is built on 404 acers and includes residential buildings with  different designs inspired by the mediterainian design with spaces ranging from 55 to 250 m2 per unit. The Latin District is built on the vital spots in New Alamein, it is situated to overlook variouse scenery, one of the clusters overlook the lake and the other clustors overlook other scenic features. Also, the Latin District has a range of fun features specifically designed to meet all the social needs of your familly."
Downtown commercial,"32,696,000 EGP","Commercial, Retail",0,0,272.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT08 Floor Ground floor Unit DTRG0815 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Beachfront Tower - B1,"28,507,000 EGP","Residential, Apartment",0,0,221.0,2025,['Other'],Mersa Matruh,Matrouh,Building BTB1 Floor 16th floor Unit BTB1172 Beachfront Tower - B1 Mersa Matruh (k) Matrouh Egypt,"Explore a lifestyle that allows you to have your work office set close to all amenities that create the work-life balance you aspire for. Mazarine Hub, a great business district, introduces office buildings, retail spaces and F&B, set in the core of all Mazarine projects. Beachfront Towers bring a podium of four floors, with a wide range of local and international brand name retail shops with capacious terraces, overlooking the crystalline sea. Its deck is designed to have outdoor greenery, landscape, gardens, pools & water features."
Downtown commercial,"36,428,000 EGP","Commercial, Retail",0,0,319.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT08 Floor Ground floor Unit DTRG0813 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Downtown Extension,"8,368,000 EGP","Residential, Apartment",2,3,173.0,2022,"['Elevator(s)', 'Other', '24 Hour Security', 'Gate Community', 'Water Available']",North Coast,Matrouh,Building DTB11B Floor 3 Unit DTB11B82 Downtown Extension North Coast  Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
